pos_id,position,company,city,state,zip,lat,lng
202531,Development Director,ALS TDI,Atlanta,GA,30309,33.799884,-84.385805
202532,An Ostentatiously-Excitable Principal Research Assistant to Chief Scientist,The Hexagon Lavish,Atlanta,GA,30303,33.753259,-84.389953
202533,Data Scientist,Xpert Staffing,Atlanta,GA,30328,33.932538,-84.385947
202534,Data Analyst,Operation HOPE,Atlanta,GA,30326,33.849518,-84.363971
202535,Assistant Professor -TT - Signal Processing & Machine Learning,Emory University,Atlanta,GA,30309,33.799884,-84.385805
202536,Manager of Data Engineering,McKinsey & Company,Atlanta,GA,30326,33.849518,-84.363971
202537,"Product Specialist - Periscope, New Ventures",McKinsey & Company,Atlanta,GA,30326,33.849518,-84.363971
202538,"Junior to Mid-level Engineer, Geologist or Environmental Scientist",Wood,Atlanta,GA,30328,33.932538,-84.385947
202539,Analyst - CIB Credit Research,SunTrust,Atlanta,GA,30303,33.753259,-84.389953
202540,Senior Associate - Cognitive Data Scientist Natural Language Processing,KPMG,Atlanta,GA,30329,33.827479,-84.323017
202541,STATISTICAL FORECAST ANALYST,The Home Depot,Atlanta,GA,30303,33.753259,-84.389953
202542,Health Scientist III-CPTS,Chenega Corporation,Atlanta,GA,30309,33.799884,-84.385805
202543,"Senior Associate, Data Scientist",KPMG,Atlanta,GA,30329,33.827479,-84.323017
202544,Assistant Scientist (AR) SOM,Emory University,Atlanta,GA,30309,33.799884,-84.385805
202545,Business Intelligence Data Science Analyst - Supply Chain,Newell Brands,Atlanta,GA,30326,33.849518,-84.363971
202546,Data Scientist,Cotiviti,Atlanta,GA,30309,33.799884,-84.385805
202547,Senior Structural Engineer-Transmission & Distribution,Burns & McDonnell,Atlanta,GA,30309,33.799884,-84.385805
202548,Senior Mobile Developer (iOS/Android),Perficient,Atlanta,GA,30326,33.849518,-84.363971
202549,Data Scientist,Relus Cloud,Atlanta,GA,30303,33.753259,-84.389953
202550,Data Scientist,Inspire Brands,Atlanta,GA,30329,33.827479,-84.323017
202551,Senior Electrical Engineer,Burns & McDonnell,Atlanta,GA,30309,33.799884,-84.385805
202552,"Sr. Manager, Full Stack Development, KPMG Tax Ignition",KPMG,Atlanta,GA,30329,33.827479,-84.323017
202553,Data Scientist,Norfolk Southern Corp,Atlanta,GA,30326,33.849518,-84.363971
202554,DATA SCIENTIST - Supply Chain,The Home Depot,Atlanta,GA,30303,33.753259,-84.389953
