AAPL_x,AAPL_y
New York,848
Seattle,777
Cambridge,694
Boston,629
San Francisco,564
Chicago,471
San Diego,412
Washington,340
Mountain View,277
Atlanta,269
Sunnyvale,256
Los Angeles,254
Boulder,251
Austin,213
Redmond,158
South San Francisco,73
Redwood City,59
Oakland,34
Manhattan,30
San Mateo,30
San Francisco Bay Area,26
Berkeley,19
Emeryville,19
Jersey City,17
San Carlos,16
Queens,15
Brooklyn,14
Foster City,14
Menlo Park,14
Novato,12
Alameda,10
Hayward,10
Richmond,10
Burlingame,8
Newark,8
Bronx,7
San Bruno,7
San Rafael,7
Belmont,5
Murray Hill,4
Parsippany,4
Round Rock,4
San Ramon,4
South Plainfield,3
Union,3
Allendale,2
Hoboken,2
Montclair,2
Palisades,2
Rahway,2
San Leandro,2
Walnut Creek,2
Bedminster,1
Bloomfield,1
Carlstadt,1
Cedar Park,1
Daly City,1
East Hanover,1
Fairfield,1
Florham Park,1
Fort Lee,1
Fremont,1
Hackensack,1
Harrison,1
Kenilworth,1
Kentfield,1
Lafayette,1
Little Falls,1
Long Beach,1
Lynbrook,1
Manhasset,1
Manhattanville,1
Martinez,1
Mill Valley,1
New Brunswick,1
New Hyde Park,1
Oakland,1
Orangeburg,1
Pleasant Hill,1
Port Washington,1
Ridgefield,1
Roseland,1
Rutherford,1
Secaucus,1
Short Hills,1
Staten Island,1
Troy Hills,1
Union City,1
West Orange,1
Whippany,1
Woodcliff Lake,1
Yonkers,1
